a-piece-of-motivation,Tender Mood,girl,Star gazing,Open field,Night,Summer,Joyful
amazing-grace,Happy Mood,girl,Going home,long road,Evening,Autumn,Joyful
angels-we-have-heard-on-high-grand-piano,Happy Mood,Angels,Singing on sky,Open field,Night,Winter,Joyful,Christmas story
ataraxia,Tender Mood,guy,Listening to music,On train,Night,Spring,Peaceful,Ataraxia
believe-in-miracle,Tender Mood, guy,Reaching a star,Open sky,Night,Summer,Dreamy,Miracle
wedding-love-story,Exciting Mood,bride,holding and kissing groom,In wedding party,Noon,Spring,Joyful,Cinematic,Beautiful scene
with-all-my-heart,Happy Mood,A heart,flying,From open hands,Morning,Spring,Joyful,Cinematic
you-are-always-with-me,Happy Mood,Two birds,perching on tree,In forest,Morning,Winter,Emotional,wind blowing snow,Beautiful scene
1_Te_Amo,Happy Mood,couple,Strolling,Along the river bank,Morning,Autumn,Peaceful,sun setting
2_Winter_The_Four_Seasons,Scary Mood,Trees,standing,On mountains,Noon,Winter,Cold,Intense snow storm
3_Naruto-Sadness_and_Sorrow,Sad Mood,man,standing,In cemetery,Evening,Autumn,Sorrow,Wind blowing
4_Victory,Exciting Mood,An army,riding horses,In battle field,Evening,Spring,Joyful,War victory
5_Memories,Tender Mood,man,helping his child to ride a bike,Open field,Evening,Autumn,Joyful,Beautiful memories
Across-the-Park,Happy Mood,girl,riding horse,Across a park,Noon,Spring,Joyful,Dreamy,sun shining
Autumn-Scene,Happy Mood,couple,looking down river,From a bridge,Evening,Autumn,Emotional,Autumn leaves flying,Beautiful scene
Autumn,Exciting Mood,couple,chasing each other,Across a park,Morning,Autumn,Joyful,Dreamy,Autumn leaves flying
Beautiful-Piano,Happy Mood,girl,playing piano,On blue abstract background,Morning,Spring,Joyful,Music notes flying around
Beethoven_Piano_Sonata_D_major_I_Allegro,Exciting Mood,shepherd,leading a flock of sheep,On green pasture,Morning,Spring,Joyful,sun shining,Beautiful scene
Calm-and-Peaceful,Tender Mood,canoe,floating,On river,Night,Spring,Peaceful,moon shining,Beautiful scene
Cinematic-piano-lights,Tender Mood,Butterflies made by lights,flying,Open field,Night,Spring,Nostalgia,Dreamy,Beautiful scene
Circus-Theme-Entry-of-the-Gladiators,Exciting Mood,gladiator,making an entry,In circuit,Night,Spring,Joyful,crowd cheering
driftamonginfinitestars,Tender Mood,girl,looking at laterns floating,On an open sky,Night,Spring,Emotional,Dreamy,Beautiful scene
